StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q4,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,ID,sourcefile,gender,age,Message,string,V,U,index_U,i.x,j.x,yhat.x,i.y,j.y,yhat.y,i.x.x,j.x.x,yhat.x.x,i.y.y,j.y.y,yhat.y.y,Y
2020-08-16 06:11:51,2020-08-16 06:15:16,0,100,205,1,2020-08-16 06:15:16,R_3n8IFTw7dhB40Ea,anonymous,EN,1,1,3.594,4.401,56.206,2,1,1,2,1,2,1,1,3,1,2,2,4,1,1,11,"F-OLD-R_August+16,+2020_08.58.csv",F,OLD,NA,woman over 50 years old,2,1,9,1,10,0.5983078430520667,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
2020-08-16 07:24:34,2020-08-16 07:27:40,0,100,186,1,2020-08-16 07:27:41,R_2QA6Ct0BDcV5G6Z,anonymous,EN,1,1,0,0,68.847,0,1,4,4,4,3,4,4,4,4,4,3,4,4,4,12,"F-OLD-R_August+16,+2020_08.58.csv",F,OLD,NA,woman over 50 years old,2,1,12,13,14,0.5983078430520667,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
2020-08-17 11:39:18,2020-08-17 11:41:50,0,100,152,1,2020-08-17 11:41:50,R_3HH286bvMm2lC5w,anonymous,EN,1,1,0,0,56.984,0,1,3,2,2,1,1,3,2,2,2,3,2,2,1,13,"F-OLD-R_August+18,+2020_01.49.csv",F,OLD,NA,woman over 50 years old,2,2,16,NA,NA,NA,14,2,0.6267841724707637,NA,NA,NA,NA,NA,NA,26
2020-08-17 12:59:22,2020-08-17 13:01:40,0,100,138,1,2020-08-17 13:01:41,R_32JDAC41q4tUoUH,anonymous,EN,1,1,0,0,65.31,0,1,2,2,1,1,1,2,4,2,2,0,4,4,1,14,"F-OLD-R_August+18,+2020_01.49.csv",F,OLD,NA,woman over 50 years old,2,2,15,NA,NA,NA,10,6,0.6267841724707637,NA,NA,NA,NA,NA,NA,26
2020-08-17 13:51:40,2020-08-17 14:02:39,0,100,659,1,2020-08-17 14:02:39,R_1OpenYFqo4OUgfy,anonymous,EN,1,1,44.437,44.437,46.437,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,15,"F-OLD-R_August+18,+2020_01.49.csv",F,OLD,NA,woman over 50 years old,2,2,14,NA,NA,NA,6,10,0.6267841724707637,NA,NA,NA,NA,NA,NA,40
2020-08-17 14:41:51,2020-08-17 15:19:34,0,100,2262,1,2020-08-17 15:19:34,R_2at27o5i2vCDOE8,anonymous,EN,1,1,5.603,5.603,31.539,1,1,4,4,3,3,3,3,4,2,2,3,3,0,4,16,"F-OLD-R_August+18,+2020_01.49.csv",F,OLD,NA,woman over 50 years old,2,2,13,NA,NA,NA,2,14,0.6267841724707637,NA,NA,NA,NA,NA,NA,38
2020-08-20 06:05:45,2020-08-20 06:08:43,0,100,178,1,2020-08-20 06:08:44,R_2OGEcNknIbGlB2Q,anonymous,EN,1,1,0,0,77.114,0,1,3,3,3,3,3,3,3,3,3,4,4,4,3,17,"F-OLD-R_August+20,+2020_11.40.csv",F,OLD,NA,woman over 50 years old,2,2,18,NA,NA,NA,NA,NA,NA,6,2,0.6082982195420977,NA,NA,NA,42
2020-08-20 06:45:55,2020-08-20 06:51:51,0,100,356,1,2020-08-20 06:51:51,R_3fjcP1ArB8vJuNG,anonymous,EN,1,1,0,0,108.54,0,0,2,3,3,3,3,3,4,4,3,4,4,4,4,18,"F-OLD-R_August+20,+2020_11.40.csv",F,OLD,NA,woman over 50 years old,2,2,19,NA,NA,NA,NA,NA,NA,10,6,0.6082982195420977,NA,NA,NA,44
2020-08-20 07:41:52,2020-08-20 07:46:15,0,100,262,1,2020-08-20 07:46:15,R_2aD2O8ryuofWpjO,anonymous,EN,1,1,8.878,18.518,71.371,4,1,4,3,4,3,3,3,4,2,3,3,4,4,3,19,"F-OLD-R_August+20,+2020_11.40.csv",F,OLD,NA,woman over 50 years old,2,2,17,NA,NA,NA,NA,NA,NA,2,10,0.6082982195420977,NA,NA,NA,43
2020-08-20 08:20:01,2020-08-20 08:24:40,0,100,279,1,2020-08-20 08:24:41,R_3impgeSWLMzsQtb,anonymous,EN,1,1,0,0,53.578,0,1,3,3,3,3,3,3,3,3,2,3,3,3,3,20,"F-OLD-R_August+20,+2020_11.40.csv",F,OLD,NA,woman over 50 years old,2,2,20,NA,NA,NA,NA,NA,NA,14,14,0.6082982195420977,NA,NA,NA,38
2020-08-21 03:37:03,2020-08-21 03:38:55,0,100,111,1,2020-08-21 03:38:55,R_20OkUfOip1u595h,anonymous,EN,1,1,0.873,0.873,33.004,1,1,3,3,3,3,3,2,3,2,3,3,4,4,2,21,"F-OLD-R_August+21,+2020_09.58.csv",F,OLD,NA,woman over 50 years old,2,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,0.5888449526554741,38
2020-08-21 04:42:12,2020-08-21 04:44:36,0,100,144,1,2020-08-21 04:44:37,R_1Qzr73kjxhTIXvB,anonymous,EN,1,1,38.283,38.283,39.504,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,22,"F-OLD-R_August+21,+2020_09.58.csv",F,OLD,NA,woman over 50 years old,2,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6,0.5888449526554741,39
2020-08-21 06:48:05,2020-08-21 06:52:00,0,100,235,1,2020-08-21 06:52:01,R_8IC8dbHVXDVZPeV,anonymous,EN,1,1,12.742,68.357,73.288,2,1,1,2,1,0,2,2,2,2,1,2,3,2,2,23,"F-OLD-R_August+21,+2020_09.58.csv",F,OLD,NA,woman over 50 years old,2,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0.5888449526554741,22
2020-08-21 06:54:48,2020-08-21 06:59:38,0,100,290,1,2020-08-21 06:59:39,R_2Ea6C6l6WdUGJo2,anonymous,EN,1,1,0,0,79.176,0,0,3,2,2,2,1,1,3,3,3,3,3,3,1,24,"F-OLD-R_August+21,+2020_09.58.csv",F,OLD,NA,woman over 50 years old,2,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14,0.5888449526554741,30
2020-08-13 03:00:25,2020-08-13 03:02:21,0,100,115,1,2020-08-13 03:02:21,R_2c5i5H3Fevahaqw,anonymous,EN,1,1,3.483,29.534,44.834,3,1,4,3,3,3,3,3,4,4,4,2,4,4,4,1,"F-YOUNG-R_August+13,+2020_08.24.csv",F,YOUNG,NA,woman under 30 years old,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
2020-08-13 03:46:46,2020-08-13 03:49:18,0,100,151,1,2020-08-13 03:49:18,R_1mkCrKFuLrWNbjX,anonymous,EN,1,1,0,0,41.752,0,1,3,3,3,3,2,3,3,3,3,1,3,3,3,2,"F-YOUNG-R_August+13,+2020_08.24.csv",F,YOUNG,NA,woman under 30 years old,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
2020-08-13 05:45:18,2020-08-13 05:48:46,0,100,207,1,2020-08-13 05:48:46,R_2Y4dBSGZdVxLw83,anonymous,EN,1,1,0,0,33.501,0,1,0,0,0,0,0,0,0,1,0,1,3,1,1,3,"F-YOUNG-R_August+13,+2020_08.24.csv",F,YOUNG,NA,woman under 30 years old,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2020-08-13 06:10:28,2020-08-13 06:12:57,0,100,148,1,2020-08-13 06:12:57,R_D9a6eLHcOuAPXgZ,anonymous,EN,1,1,0,0,67.249,0,1,2,4,3,1,1,1,4,3,1,3,3,3,3,4,"F-YOUNG-R_August+13,+2020_08.24.csv",F,YOUNG,NA,woman under 30 years old,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
2020-08-14 07:05:45,2020-08-14 07:07:41,0,100,116,1,2020-08-14 07:07:41,R_AEtRPVOziFBzT69,anonymous,EN,1,1,9.106,11.007,53.142,2,1,2,4,2,1,4,4,4,4,4,4,4,4,4,5,"F-YOUNG-R_August+14,+2020_12.02.csv",F,YOUNG,NA,woman under 30 years old,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
2020-08-14 07:45:23,2020-08-14 07:48:50,0,100,206,1,2020-08-14 07:48:51,R_3dYT49Y9QrTWWZA,anonymous,EN,1,1,0,0,31.353,0,1,3,3,3,3,3,1,2,1,2,1,4,2,1,6,"F-YOUNG-R_August+14,+2020_12.02.csv",F,YOUNG,NA,woman under 30 years old,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
2020-08-14 08:29:04,2020-08-14 08:40:25,0,100,680,1,2020-08-14 08:40:25,R_ST8Fvyxa6wybH69,anonymous,EN,1,1,0,0,53.462,0,1,3,4,3,3,2,2,4,4,3,1,4,4,3,7,"F-YOUNG-R_August+14,+2020_12.02.csv",F,YOUNG,NA,woman under 30 years old,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
2020-08-14 09:16:48,2020-08-14 09:19:39,0,100,170,1,2020-08-14 09:19:39,R_3JezwEF8EkaexQo,anonymous,EN,1,1,0,0,55.585,0,1,1,1,1,0,0,2,0,1,0,0,4,0,0,8,"F-YOUNG-R_August+14,+2020_12.02.csv",F,YOUNG,NA,woman under 30 years old,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
2020-08-16 04:08:40,2020-08-16 04:16:22,0,100,462,1,2020-08-16 04:16:22,R_1SMpCxTnNoKvEBP,anonymous,EN,1,1,0,0,183.629,0,1,3,2,3,3,3,3,3,3,3,2,2,3,1,9,"F-YOUNG-R_August+16,+2020_08.58.csv",F,YOUNG,NA,woman under 30 years old,1,4,10,8,1,0.6361990390732287,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
2020-08-16 05:29:04,2020-08-16 05:30:15,0,100,70,1,2020-08-16 05:30:15,R_9XHFPr5334SQMdb,anonymous,EN,1,1,0,0,31.627,0,0,3,4,3,2,3,3,0,1,3,2,1,2,1,10,"F-YOUNG-R_August+16,+2020_08.58.csv",F,YOUNG,NA,woman under 30 years old,1,4,11,12,5,0.6361990390732287,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
2020-08-16 06:37:31,2020-08-16 06:40:16,0,100,165,1,2020-08-16 06:40:16,R_1dMqoG44xY7dDPL,anonymous,EN,1,1,0,0,58.6,0,1,3,2,3,3,1,2,3,3,2,1,3,3,3,11,"F-YOUNG-R_August+16,+2020_08.58.csv",F,YOUNG,NA,woman under 30 years old,1,4,12,16,9,0.6361990390732287,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
2020-08-16 07:00:10,2020-08-16 07:03:14,0,100,184,1,2020-08-16 07:03:14,R_ZDmOkQ2S4qe0pqx,anonymous,EN,1,1,4.224,5.076,48.286,2,1,3,3,3,3,2,2,3,3,3,3,3,3,3,12,"F-YOUNG-R_August+16,+2020_08.58.csv",F,YOUNG,NA,woman under 30 years old,1,4,9,4,13,0.6361990390732287,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
2020-08-17 11:28:48,2020-08-17 11:39:51,0,100,662,1,2020-08-17 11:39:51,R_216fPFpKSKZBN0b,anonymous,EN,1,1,0,0,343.035,0,1,1,2,1,1,0,1,3,2,1,2,3,2,1,13,"F-YOUNG-R_August+18,+2020_01.50.csv",F,YOUNG,NA,woman under 30 years old,1,1,16,NA,NA,NA,13,1,0.6550351644816916,NA,NA,NA,NA,NA,NA,20
2020-08-17 12:18:04,2020-08-17 12:30:01,0,100,716,1,2020-08-17 12:30:01,R_2SrGLi1N611oOng,anonymous,EN,1,1,0,0,64,0,0,3,3,3,3,3,3,3,3,3,3,3,3,1,14,"F-YOUNG-R_August+18,+2020_01.50.csv",F,YOUNG,NA,woman under 30 years old,1,1,13,NA,NA,NA,1,5,0.6550351644816916,NA,NA,NA,NA,NA,NA,37
2020-08-17 13:06:49,2020-08-17 13:08:43,0,100,114,1,2020-08-17 13:08:43,R_2Wvas1CjL604byZ,anonymous,EN,1,1,0,0,31.528,0,1,2,2,1,1,1,2,2,1,2,2,3,1,1,15,"F-YOUNG-R_August+18,+2020_01.50.csv",F,YOUNG,NA,woman under 30 years old,1,1,14,NA,NA,NA,5,9,0.6550351644816916,NA,NA,NA,NA,NA,NA,21
2020-08-17 13:55:59,2020-08-17 14:13:03,0,100,1023,1,2020-08-17 14:13:03,R_ZIAvwJA0cwfVLY5,anonymous,EN,1,1,0,0,30.796,0,1,3,2,2,2,2,2,3,3,3,3,4,4,3,16,"F-YOUNG-R_August+18,+2020_01.50.csv",F,YOUNG,NA,woman under 30 years old,1,1,15,NA,NA,NA,9,13,0.6550351644816916,NA,NA,NA,NA,NA,NA,36
2020-08-20 06:05:44,2020-08-20 06:07:57,0,100,133,1,2020-08-20 06:07:58,R_2zpePjrpnpmrClv,anonymous,EN,1,1,0,0,41.83,0,1,2,3,2,2,3,3,3,3,3,2,3,3,3,17,"F-YOUNG-R_August+20,+2020_11.39.csv",F,YOUNG,NA,woman under 30 years old,1,4,18,NA,NA,NA,NA,NA,NA,8,1,0.5762932999400685,NA,NA,NA,35
2020-08-20 06:50:23,2020-08-20 06:57:02,0,100,398,1,2020-08-20 06:57:02,R_8reD6WudiPZqz17,anonymous,EN,1,1,0,0,130.286,0,0,1,2,2,1,1,1,3,2,1,3,4,2,1,18,"F-YOUNG-R_August+20,+2020_11.39.csv",F,YOUNG,NA,woman under 30 years old,1,4,17,NA,NA,NA,NA,NA,NA,4,5,0.5762932999400685,NA,NA,NA,24
2020-08-20 07:33:57,2020-08-20 07:38:37,0,100,280,1,2020-08-20 07:38:38,R_2uCy7phJyxhl6yI,anonymous,EN,1,1,0,0,106.56,0,1,2,2,1,2,1,1,3,2,2,1,1,2,2,19,"F-YOUNG-R_August+20,+2020_11.39.csv",F,YOUNG,NA,woman under 30 years old,1,4,19,NA,NA,NA,NA,NA,NA,12,9,0.5762932999400685,NA,NA,NA,22
2020-08-20 08:24:05,2020-08-20 08:25:55,0,100,110,1,2020-08-20 08:25:56,R_3M9bwQzXZgr29zA,anonymous,EN,1,1,37.69,37.69,38.066,1,1,3,3,2,2,1,1,3,1,2,1,2,0,1,20,"F-YOUNG-R_August+20,+2020_11.39.csv",F,YOUNG,NA,woman under 30 years old,1,4,20,NA,NA,NA,NA,NA,NA,16,13,0.5762932999400685,NA,NA,NA,22
2020-08-21 05:10:40,2020-08-21 05:13:09,0,100,148,1,2020-08-21 05:13:09,R_1gBmAnMRmvqTe43,anonymous,EN,1,1,0,0,53.745,0,0,2,2,2,2,3,2,3,3,2,2,4,3,3,21,"F-YOUNG-R_August+21,+2020_09.58.csv",F,YOUNG,NA,woman under 30 years old,1,3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0.6068700150302535,33
2020-08-21 06:43:59,2020-08-21 06:47:49,0,100,230,1,2020-08-21 06:47:50,R_6KHrgVGwibxvaBr,anonymous,EN,1,1,0,0,64.25,0,1,3,3,3,3,1,1,2,3,1,2,4,3,3,22,"F-YOUNG-R_August+21,+2020_09.58.csv",F,YOUNG,NA,woman under 30 years old,1,3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0.6068700150302535,32
2020-08-21 07:45:35,2020-08-21 07:50:41,0,100,305,1,2020-08-21 07:50:41,R_2OZUNfhHPWMtoKj,anonymous,EN,1,1,0,0,81.137,0,0,2,3,2,2,1,1,2,3,3,3,3,3,3,23,"F-YOUNG-R_August+21,+2020_09.58.csv",F,YOUNG,NA,woman under 30 years old,1,3,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,9,0.6068700150302535,31
2020-08-21 09:01:52,2020-08-21 09:29:10,0,100,1637,1,2020-08-21 09:29:10,R_3QDzPPnNfvIZeat,anonymous,EN,1,1,0,0,35.58,0,1,2,3,2,3,2,3,3,3,1,3,3,3,3,24,"F-YOUNG-R_August+21,+2020_09.58.csv",F,YOUNG,NA,woman under 30 years old,1,3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,13,0.6068700150302535,34
2020-08-13 03:00:34,2020-08-13 03:04:21,0,100,226,1,2020-08-13 03:04:21,R_yjveGBOtzIBEA4p,anonymous,EN,1,1,0,0,67.278,0,1,3,3,3,3,4,3,3,3,3,3,4,3,3,1,"M-OLD-R_August+13,+2020_08.25.csv",M,OLD,NA,man over 50 years old,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
2020-08-13 03:46:48,2020-08-13 03:49:29,0,100,161,1,2020-08-13 03:49:29,R_yOT34rtEtQ9oyCB,anonymous,EN,1,1,0,0,48.151,0,1,2,2,1,1,1,1,2,2,1,2,1,3,1,2,"M-OLD-R_August+13,+2020_08.25.csv",M,OLD,NA,man over 50 years old,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
2020-08-13 04:32:55,2020-08-13 04:37:52,0,100,296,1,2020-08-13 04:37:52,R_pM1bbEaisvwSash,anonymous,EN,1,1,0,0,77.167,0,1,2,2,2,2,1,1,3,2,2,3,3,3,1,3,"M-OLD-R_August+13,+2020_08.25.csv",M,OLD,NA,man over 50 years old,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
2020-08-13 05:18:39,2020-08-13 05:21:09,0,100,150,1,2020-08-13 05:21:09,R_w7dkS1IKvqT9H0t,anonymous,EN,1,1,2.512,25.201,43.429,2,1,2,3,2,2,2,2,4,3,3,3,4,3,3,4,"M-OLD-R_August+13,+2020_08.25.csv",M,OLD,NA,man over 50 years old,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
2020-08-14 07:14:45,2020-08-14 07:17:20,0,100,154,1,2020-08-14 07:17:20,R_2ROCh27keUO6wGY,anonymous,EN,1,1,1.902,1.902,40.094,1,1,1,2,1,1,1,2,3,2,1,3,4,2,1,5,"M-OLD-R_August+14,+2020_12.02.csv",M,OLD,NA,man over 50 years old,4,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
2020-08-14 07:39:44,2020-08-14 07:45:39,0,100,354,1,2020-08-14 07:45:39,R_2xzP967D6N9YucS,anonymous,EN,1,1,82.63,91.173,92.895,2,1,4,4,3,3,2,1,4,4,4,4,4,4,2,6,"M-OLD-R_August+14,+2020_12.02.csv",M,OLD,NA,man over 50 years old,4,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
2020-08-14 09:30:29,2020-08-14 09:44:16,0,100,827,1,2020-08-14 09:44:17,R_bqm5EnNnFi39N5f,anonymous,EN,1,1,0,0,44.316,0,1,3,2,2,1,0,1,2,2,2,3,3,3,2,7,"M-OLD-R_August+14,+2020_12.02.csv",M,OLD,NA,man over 50 years old,4,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
2020-08-14 10:54:49,2020-08-14 10:57:10,0,100,140,1,2020-08-14 10:57:10,R_25XtGEpZ6jM3nKT,anonymous,EN,1,1,0,0,47.43,0,1,3,3,3,2,3,3,3,3,3,3,3,3,3,8,"M-OLD-R_August+14,+2020_12.02.csv",M,OLD,NA,man over 50 years old,4,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
2020-08-16 03:54:00,2020-08-16 03:58:16,0,100,256,1,2020-08-16 03:58:17,R_27CYG5EozKD0cUE,anonymous,EN,1,1,0,0,63.414,0,1,3,2,2,2,2,3,3,2,3,2,3,3,2,9,"M-OLD-R_August+16,+2020_08.57.csv",M,OLD,NA,man over 50 years old,4,3,10,7,4,0.5790835121914131,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
2020-08-16 04:39:44,2020-08-16 04:44:59,0,100,315,1,2020-08-16 04:44:59,R_1ilJTNxVOtg5FoE,anonymous,EN,1,1,0,0,46.582,0,1,3,2,3,3,2,3,2,3,3,1,3,2,2,10,"M-OLD-R_August+16,+2020_08.57.csv",M,OLD,NA,man over 50 years old,4,3,12,15,8,0.5790835121914131,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
2020-08-16 05:24:43,2020-08-16 05:30:06,0,100,323,1,2020-08-16 05:30:07,R_3HGNGteMQP2zkct,anonymous,EN,1,1,1.382,1.382,71.898,1,1,2,2,2,1,2,2,3,3,2,3,1,3,2,11,"M-OLD-R_August+16,+2020_08.57.csv",M,OLD,NA,man over 50 years old,4,3,11,11,12,0.5790835121914131,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
2020-08-16 06:12:38,2020-08-16 06:15:40,0,100,181,1,2020-08-16 06:15:40,R_3puo8ES4UDIfqvL,anonymous,EN,1,1,0,0,50.901,0,1,3,3,3,2,2,3,3,2,3,3,3,3,3,12,"M-OLD-R_August+16,+2020_08.57.csv",M,OLD,NA,man over 50 years old,4,3,9,3,16,0.5790835121914131,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
2020-08-17 11:24:03,2020-08-17 11:26:18,0,100,134,1,2020-08-17 11:26:18,R_5stP4LY3ecy9P9v,anonymous,EN,1,1,0,0,47.333,0,1,2,2,1,0,2,2,4,3,1,4,4,4,2,13,"M-OLD-R_August+18,+2020_01.50.csv",M,OLD,NA,man over 50 years old,4,4,16,NA,NA,NA,16,4,0.6233773912866482,NA,NA,NA,NA,NA,NA,31
2020-08-17 12:07:33,2020-08-17 12:11:23,0,100,230,1,2020-08-17 12:11:24,R_1LjKSFeataFNQLu,anonymous,EN,1,1,0,0,41.048,0,1,1,3,1,2,2,2,3,3,3,1,3,3,1,14,"M-OLD-R_August+18,+2020_01.50.csv",M,OLD,NA,man over 50 years old,4,4,14,NA,NA,NA,8,8,0.6233773912866482,NA,NA,NA,NA,NA,NA,28
2020-08-17 12:58:09,2020-08-17 13:02:04,0,100,235,1,2020-08-17 13:02:04,R_3lRKqPqxE2UHf7j,anonymous,EN,1,1,6.335,69.09,69.908,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,15,"M-OLD-R_August+18,+2020_01.50.csv",M,OLD,NA,man over 50 years old,4,4,13,NA,NA,NA,4,12,0.6233773912866482,NA,NA,NA,NA,NA,NA,39
2020-08-17 13:43:21,2020-08-17 13:47:36,0,100,255,1,2020-08-17 13:47:36,R_2PtdsIqz1ScFr0W,anonymous,EN,1,1,0,0,115.317,0,1,4,3,3,2,3,3,4,3,4,3,4,3,3,16,"M-OLD-R_August+18,+2020_01.50.csv",M,OLD,NA,man over 50 years old,4,4,15,NA,NA,NA,12,16,0.6233773912866482,NA,NA,NA,NA,NA,NA,42
2020-08-20 06:32:16,2020-08-20 06:35:01,0,100,165,1,2020-08-20 06:35:02,R_1hZnPBjMWyP4KaX,anonymous,EN,1,1,0,0,69.621,0,1,2,3,0,0,0,2,3,2,3,0,4,4,1,17,"M-OLD-R_August+20,+2020_11.38.csv",M,OLD,NA,man over 50 years old,4,3,17,NA,NA,NA,NA,NA,NA,3,4,0.5552835035613657,NA,NA,NA,24
